======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Guerreiro + Curandeiro + Curandeiro           | 95.7%              | 0.0%               | 4.3%               | 9.5                | 8.4                | 0.0%               |
| Tanque + Tanque + Tanque                      | 93.0%              | 0.0%               | 7.0%               | 12.7               | 33.2               | 0.0%               |
| Tanque + Tanque + Ladino                      | 99.7%              | 0.0%               | 0.3%               | 7.1                | 13.2               | 0.0%               |
| Tanque + Tanque + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 6.7                | 12.3               | 0.0%               |
| Tanque + Tanque + Mago                        | 100.0%             | 0.0%               | 0.0%               | 10.6               | 27.7               | 0.0%               |
| Tanque + Tanque + Curandeiro                  | 99.4%              | 0.0%               | 0.6%               | 9.7                | 21.8               | 0.0%               |
| Tanque + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 4.6                | 6.2                | 0.0%               |
| Tanque + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 4.5                | 5.8                | 0.0%               |
| Tanque + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 6.6                | 12.5               | 0.3%               |
| Tanque + Ladino + Curandeiro                  | 99.9%              | 0.0%               | 0.1%               | 6.6                | 10.9               | 0.0%               |
| Tanque + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 4.4                | 5.8                | 0.0%               |
| Tanque + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 5.0                | 7.5                | 0.0%               |
| Tanque + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 5.2                | 7.1                | 0.0%               |
| Tanque + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 7.5                | 15.4               | 0.0%               |
| Tanque + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 7.8                | 14.7               | 0.0%               |
