======================================================
  RELATÓRIO: EXPEDIÇÃO (mission_2)
  Min Heróis: 2
  Inimigos: 2x (HP:6 ATK:2), 1x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Tanque + Mago                                 | 100.0%             | 0.0%               | 0.0%               | 5.9                | 6.3                | 0.6%               |
| Tanque + Curandeiro                           | 100.0%             | 0.0%               | 0.0%               | 7.4                | 8.9                | 0.0%               |
| Ladino + Ladino                               | 100.0%             | 0.0%               | 0.0%               | 2.7                | 1.3                | 0.0%               |
| Ladino + Arqueiro                             | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.2                | 0.1%               |
| Ladino + Mago                                 | 100.0%             | 0.0%               | 0.0%               | 3.7                | 2.2                | 0.4%               |
| Ladino + Curandeiro                           | 100.0%             | 0.0%               | 0.0%               | 4.1                | 2.3                | 0.0%               |
| Arqueiro + Arqueiro                           | 100.0%             | 0.0%               | 0.0%               | 2.3                | 1.7                | 0.6%               |
| Arqueiro + Mago                               | 100.0%             | 0.0%               | 0.0%               | 2.8                | 1.7                | 0.9%               |
| Arqueiro + Curandeiro                         | 99.8%              | 0.2%               | 0.0%               | 4.0                | 1.0                | 0.2%               |
| Mago + Mago                                   | 100.0%             | 0.0%               | 0.0%               | 3.1                | 1.8                | 3.1%               |
| Mago + Curandeiro                             | 100.0%             | 0.0%               | 0.0%               | 4.2                | 1.8                | 0.0%               |
| Curandeiro + Curandeiro                       | 100.0%             | 0.0%               | 0.0%               | 6.1                | 4.2                | 0.0%               |

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 100.0%             | 0.0%               | 0.0%               | 3.2                | 2.4                | 0.1%               |
| Guerreiro + Guerreiro + Tanque                | 99.8%              | 0.0%               | 0.3%               | 4.3                | 5.6                | 0.3%               |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.0%               | 2.7                | 1.6                | 0.0%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 2.6                | 1.5                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 3.3                | 2.4                | 0.0%               |
| Guerreiro + Guerreiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 4.0                | 2.7                | 0.0%               |
| Guerreiro + Tanque + Tanque                   | 98.4%              | 0.0%               | 1.6%               | 6.3                | 9.6                | 2.0%               |
| Guerreiro + Tanque + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 3.2                | 2.8                | 0.0%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 3.1                | 2.1                | 0.0%               |
| Guerreiro + Tanque + Mago                     | 100.0%             | 0.0%               | 0.0%               | 3.4                | 2.8                | 0.0%               |
| Guerreiro + Tanque + Curandeiro               | 99.8%              | 0.0%               | 0.2%               | 8.0                | 5.0                | 0.0%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 2.5                | 1.1                | 0.0%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 2.3                | 1.0                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 100.0%             | 0.0%               | 0.0%               | 3.0                | 1.8                | 0.0%               |
| Guerreiro + Ladino + Curandeiro               | 100.0%             | 0.0%               | 0.0%               | 3.7                | 2.2                | 0.0%               |
